record_index,RXN:VAR(1):CAS_Reaction_Number,RXN:RCT(1):CAS_RN,RXN:RCT(2):CAS_RN,RXN:RCT(3):CAS_RN,RXN:RCT(4):CAS_RN,RXN:PRO(1):CAS_RN,RXN:VAR(1):PRO(1):YIELD,RXN:VAR(1):REFERENCE(1):AUTHOR,RXN:VAR(1):REFERENCE(1):TITLE,RXN:VAR(1):REFERENCE(1):CITATION,RXN:VAR(1):NOTES,RXN:VAR(1):CAT(1):CAS_RN,RXN:VAR(1):CAT(2):CAS_RN,RXN:VAR(1):CAT(3):CAS_RN,RXN:VAR(1):CAT(4):CAS_RN,RXN:VAR(1):RGT(1):CAS_RN,RXN:VAR(1):RGT(2):CAS_RN,RXN:VAR(1):RGT(3):CAS_RN,RXN:VAR(1):RGT(4):CAS_RN,RXN:VAR(1):RGT(5):CAS_RN,RXN:VAR(1):RGT(6):CAS_RN,RXN:VAR(1):SOL(1):CAS_RN,RXN:VAR(1):SOL(2):CAS_RN,RXN:VAR(1):SOL(3):CAS_RN,RXN:VAR(1):SOL(4):CAS_RN,RXN:VAR(1):SOL(5):CAS_RN,yield_percent,year
61,31-614-CAS-38030210,110-91-8,615-20-3,,,4225-26-7,98,"Ouyang, Jia-Sheng; Zhang, Xinhuan; Pan, Bendu; Zou, Haobin; Chan, Albert",Solvent-Free Buchwald-Hartwig Amination of Heteroaryl Chlorides by,"Organic Letters (2023), 25(41), 7491-7496","green chemistry, no solvent, Buchwald-Hartwig amination, Schlenk tube",2585661-86-3,,,,865-48-5,,,,,,,,,,,98,2023.0
62,31-614-CAS-38030234,110-91-8,168837-39-6,,,2994667-06-8,97,"Ouyang, Jia-Sheng; Zhang, Xinhuan; Pan, Bendu; Zou, Haobin; Chan, Albert",Solvent-Free Buchwald-Hartwig Amination of Heteroaryl Chlorides by,"Organic Letters (2023), 25(41), 7491-7496","green chemistry, no solvent, Buchwald-Hartwig amination, Schlenk tube",2585661-86-3,,,,865-48-5,,,,,,,,,,,97,2023.0
63,31-614-CAS-38711486,110-91-8,1337880-46-2,,,3023742-47-1,97,"Bedwell, Elizabeth V.; da Silva Emery, Flavio; Clososki, Giuliano C.;","Synthesis and vectorial functionalization of pyrazolo[3,4-c]pyridines","RSC Advances (2023), 13(49), 34391-34399","Buchwald-Hartwig amination, sealed vessel used",51364-51-3,98327-87-8,,,865-48-5,,,,,,109-99-9,,,,,97,2023.0
64,31-614-CAS-40129183,3036635-38-5,,,,3047886-50-7,97,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, 94% ee, optimization study, optimized",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,97,2023.0
65,31-614-CAS-38711462,110-91-8,2201100-19-6,,,3023742-25-5,97,"Bedwell, Elizabeth V.; da Silva Emery, Flavio; Clososki, Giuliano C.;","Synthesis and vectorial functionalization of pyrazolo[3,4-c]pyridines","RSC Advances (2023), 13(49), 34391-34399","Buchwald-Hartwig amination, sealed vessel used",51364-51-3,98327-87-8,,,865-48-5,,,,,,109-99-9,,,,,97,2023.0
66,31-614-CAS-40129229,3036636-22-0,,,,3047887-34-0,97,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, >20:1 dr, see experimental details,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,97,2023.0
67,31-614-CAS-39340652,92-66-0,1592-95-6,,,894791-46-9,97,"Bhagyalakshmi, Vadla; Indira, Meeniga; Banu, Shaik Farheen;",New conjugated carbazole derivatives: Synthesis and photophysical,"New Journal of Chemistry (2024), 48(9), 3849-3861",,3375-31-3,131274-22-1,,,865-48-5,7440-50-8,,,,,108-88-3,7732-18-5,,,,97,2024.0
68,31-614-CAS-40129202,3036635-78-3,,,,3047886-85-8,97,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, 94% ee, see experimental details,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,97,2023.0
69,31-614-CAS-42476490,108-36-1,89590-57-8,,,3037273-71-2,97,"Zender, Elena; Valverde, Danillo; Neubaur, Robert; Karger, Sebastian;",Borylation and rearrangement reactions of azasilaanthracenes to afford,"Dalton Transactions (2024), 53(22), 9294-9300","microwave irradiation, thermal",53199-31-8,,,,865-48-5,,,,,,108-88-3,,,,,97,2024.0
70,31-614-CAS-40129228,3036636-39-9,,,,3047887-50-0,97,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, see experimental details, 99% ee,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,97,2023.0
71,31-614-CAS-40129220,3036636-17-3,,,,3047887-28-2,97,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, 94% ee, see experimental details,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,97,2023.0
72,31-614-CAS-38400102,88-73-3,110-85-0,,,13339-02-1,97,"Iqubal, Ashif; Halder, Pallabi; Das, Parthasarathi",Two-Chamber-Enabled Hydrogenation Reactions Using Al-H2O/NaOH: Access to,"Journal of Organic Chemistry (2023), 88(24), 17047-17061",,7440-05-3,,,,1310-73-2,7429-90-5,,,,,67-56-1,7732-18-5,,,,97,2023.0
73,31-614-CAS-37847497,100-61-8,219564-79-1,878203-50-0,,2989955-76-0,97,"Xu, Jie; Ge, Zhaoliang; Ding, Kuiling; Wang, Xiaoming",Rh(II)/Pd(0) Dual-Catalyzed Regio-Divergent Three-Component Propargylic,"JACS Au (2023), 3(10), 2862-2872","chemoselective, regioselective, sealed tube used",51364-51-3,73482-96-9,1160861-53-9,,534-17-8,,,,,,75-05-8,,,,,97,2023.0
74,31-614-CAS-38969995,589-09-3,50638-46-5,,,2495113-88-5,97,"Fan, Ruoqian; Wen, Haili; Chen, Zhen; Xia, Yuanzhi; Fang, Weiwei",A General Protocol toward Synthesis of 3-Methylindoles Using,"Organic Letters (2024), 26(1), 22-28","chemoselective, Schlenk tube used, catalyst stoichiometry dependent",2873417-75-3,,,,865-48-5,,,,,,123-91-1,,,,,97,2024.0
75,31-614-CAS-40985572,108-86-1,111-49-9,,,40832-99-3,97,"Kim, Sojung F.; Schwarz, Henrik; Jurczyk, Justin; Nebgen, Bailey R.;","Mechanistic Investigation, Wavelength-Dependent Reactivity, and Expanded","Journal of the American Chemical Society (2024), 146(8), 5580-5596","sealed vial used, no solvent, Buchwald-Hartwig coupling",3375-31-3,787618-22-8,,,865-48-5,,,,,,,,,,,97,2024.0
76,31-614-CAS-42014400,100-61-8,134-85-0,,,20349-66-0,97,"Li, Cheuk Long; Tse, Man Ho; Choy, Pui Ying; Kwong, Fuk Yee",Application of indole-based monophosphine in ppm level Pd-catalyzed C-N,"Journal of Organometallic Chemistry (2024), 1011123124","Buchwald-Hartwig amination, catalyst prepared and used, Schlenk tube used",3375-31-3,3058377-30-0,,,865-48-5,,,,,,75-09-2,108-88-3,110-54-3,7732-18-5,,97,2024.0
77,31-614-CAS-42014405,100-61-8,612-62-4,,,25932-48-3,97,"Li, Cheuk Long; Tse, Man Ho; Choy, Pui Ying; Kwong, Fuk Yee",Application of indole-based monophosphine in ppm level Pd-catalyzed C-N,"Journal of Organometallic Chemistry (2024), 1011123124","Buchwald-Hartwig amination, catalyst prepared and used, Schlenk tube used",3375-31-3,3058377-30-0,,,865-48-5,,,,,,75-09-2,108-88-3,110-54-3,7732-18-5,,97,2024.0
78,31-614-CAS-41650759,100-63-0,141-97-9,3132-99-8,,351994-58-6,97,"AlMohamadi, Hamad; AlBajalan, Ahmed Rafiq; Menon, Soumya V.;","Palladium immobilized onto 1,4-bis(pyrid-4-yl)benzene grafted to","Research on Chemical Intermediates (2024), 50(8), 3619-3644","green chemistry, solid-supported catalyst (palladium immobilized onto",1317-61-9,7440-05-3,113682-56-7,,,,,,,,,,,,,97,2024.0
79,31-614-CAS-41243630,110-91-8,591-50-4,,,92-53-5,97,"Kulkarni, Padmakar A.; Kahandal, Sandeep S.; Awale, Ashok G.; Bhangoji,",Synthesis of Au-Pd@CeO2 nanocomposite as a potential catalyst for the,"Journal of Chemical Sciences (Berlin, Germany) (2024), 136(2), 40",solid-supported catalyst (gold and palladium metals supported on ceria,1306-38-3,7440-05-3,7440-57-5,,584-08-7,,,,,,68-12-2,,,,,97,2024.0
80,31-614-CAS-41650748,100-63-0,104-88-1,141-97-9,,143699-06-3,97,"AlMohamadi, Hamad; AlBajalan, Ahmed Rafiq; Menon, Soumya V.;","Palladium immobilized onto 1,4-bis(pyrid-4-yl)benzene grafted to","Research on Chemical Intermediates (2024), 50(8), 3619-3644","green chemistry, solid-supported catalyst (palladium immobilized onto",1317-61-9,7440-05-3,113682-56-7,,,,,,,,,,,,,97,2024.0
81,31-614-CAS-42014413,100-61-8,106-43-4,,,38158-65-5,97,"Li, Cheuk Long; Tse, Man Ho; Choy, Pui Ying; Kwong, Fuk Yee",Application of indole-based monophosphine in ppm level Pd-catalyzed C-N,"Journal of Organometallic Chemistry (2024), 1011123124","Buchwald-Hartwig amination, optimization study, optimized on catalyst,",3375-31-3,3058377-30-0,,,865-48-5,,,,,,75-09-2,108-88-3,110-54-3,7732-18-5,,97,2024.0
82,31-614-CAS-41243627,108-86-1,110-91-8,,,92-53-5,97,"Kulkarni, Padmakar A.; Kahandal, Sandeep S.; Awale, Ashok G.; Bhangoji,",Synthesis of Au-Pd@CeO2 nanocomposite as a potential catalyst for the,"Journal of Chemical Sciences (Berlin, Germany) (2024), 136(2), 40",solid-supported catalyst (gold and palladium metals supported on ceria,1306-38-3,7440-05-3,7440-57-5,,584-08-7,,,,,,68-12-2,,,,,97,2024.0
83,31-614-CAS-40641317,696-62-8,2088305-62-6,,,2375469-93-3,96,"Kitamoto, Yuichi; Oda, Kazuma; Kita, Hiroshi; Hattori, Tetsutaro; Oi,",Synthesis of Azadioxa-Planar Triphenylboranes Bridged by Aryl- and,"Journal of Organic Chemistry (2023), 88(9), 5852-5860",,52522-40-4,131274-22-1,,,865-48-5,,,,,,108-88-3,,,,,96,2023.0
84,31-614-CAS-40641316,591-50-4,2088305-62-6,,,2109532-10-5,96,"Kitamoto, Yuichi; Oda, Kazuma; Kita, Hiroshi; Hattori, Tetsutaro; Oi,",Synthesis of Azadioxa-Planar Triphenylboranes Bridged by Aryl- and,"Journal of Organic Chemistry (2023), 88(9), 5852-5860","optimization study (optimized on reagent, time, temperature and catalyst)",52522-40-4,131274-22-1,,,865-48-5,,,,,,108-88-3,,,,,96,2023.0
85,31-614-CAS-40129304,3036635-23-8,,,,3047888-13-8,96,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, 93% ee",3375-31-3,76189-56-5,,,584-08-7,1310-73-2,,,,,108-88-3,123-91-1,,,,96,2023.0
86,31-614-CAS-40129204,3036635-86-3,,,,3047886-93-8,96,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, 93% ee, see experimental details,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,96,2023.0
87,31-614-CAS-37016339,407-20-5,33630-99-8,,,2271475-28-4,96,"Leit, Silvana; Greenwood, Jeremy; Carriero, Samantha; Mondal, Sayan;",Discovery of a Potent and Selective Tyrosine Kinase 2 Inhibitor: TAK-279,"Journal of Medicinal Chemistry (2023), 66(15), 10495-10518",Buchwald-Hartwig amination,51364-51-3,161265-03-8,,,497-19-8,,,,,,123-91-1,,,,,96,2023.0
88,31-614-CAS-35475435,135-67-1,1753-75-9,,,2860553-46-2,96,"Ma, You-Ping; Wang, Guoliang; Zhao, Min; Shi, Zi-Fa; Miao, Yanqin; Cao,",A red thermally activated delayed fluorescence emitter based on,"Dyes and Pigments (2023), 212111084",,51364-51-3,,,,865-48-5,131274-22-1,,,,,108-88-3,,,,,96,2023.0
89,31-614-CAS-37016331,33630-99-8,38749-79-0,,,2271477-88-2,96,"Leit, Silvana; Greenwood, Jeremy; Carriero, Samantha; Mondal, Sayan;",Discovery of a Potent and Selective Tyrosine Kinase 2 Inhibitor: TAK-279,"Journal of Medicinal Chemistry (2023), 66(15), 10495-10518",Buchwald-Hartwig amination,51364-51-3,161265-03-8,,,497-19-8,,,,,,123-91-1,,,,,96,2023.0
90,31-614-CAS-40641319,624-31-7,2088305-62-6,,,2201886-26-0,96,"Kitamoto, Yuichi; Oda, Kazuma; Kita, Hiroshi; Hattori, Tetsutaro; Oi,",Synthesis of Azadioxa-Planar Triphenylboranes Bridged by Aryl- and,"Journal of Organic Chemistry (2023), 88(9), 5852-5860",,52522-40-4,131274-22-1,,,865-48-5,,,,,,108-88-3,,,,,96,2023.0
91,31-614-CAS-42063359,92-84-2,2039-82-9,,,78111-72-5,96,"Wessling, Robin; Koger, Hendrik; Otteny, Fabian; Schmidt, Maximilian;",Unlocking Twofold Oxidation in Phenothiazine Polymers for Application in,"ACS Applied Polymer Materials (2024), 6(14), 7956-7968",Buchwald-Hartwig styrylation,51364-51-3,657408-07-6,,,865-47-4,,,,,,123-91-1,,,,,96,2024.0
92,31-614-CAS-42014419,100-61-8,106-46-7,,,17754-68-6,96,"Li, Cheuk Long; Tse, Man Ho; Choy, Pui Ying; Kwong, Fuk Yee",Application of indole-based monophosphine in ppm level Pd-catalyzed C-N,"Journal of Organometallic Chemistry (2024), 1011123124","Buchwald-Hartwig amination, catalyst prepared and used, Schlenk tube used",98-80-6,3375-31-3,3058377-30-0,,865-48-5,,,,,,75-09-2,108-88-3,110-54-3,7732-18-5,,96,2024.0
93,31-614-CAS-35530760,90-14-2,1914543-70-6,,,2909436-25-3,96,"Liu, Ze-Shui; Deng, Shuang; Gao, Qianwen; Hua, Yu; Cheng, Hong-Gang; Qi,",Construction of Axially Chiral Biaryls via Atroposelective ortho-C-H,"ACS Catalysis (2023), 13(5), 2968-2980","stereoselective (95% ee), Catellani reaction, sealed vial used",3375-31-3,5518-52-5,2248160-18-9,,584-08-7,,,,,,75-05-8,,,,,96,2023.0
94,31-614-CAS-36215338,2922795-57-9,,,,2923067-00-7,96,"Pu, Xiaoyun; Zhang, Yaqi; He, Xiaobo; Zhang, Xinhuan; Jiang, Long; Cao,",Synthesis of N-Substituted 4-Quinolones via Palladium-Catalyzed,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157","stereoselective, reaction in a sealed microwave tube, %ee = 92",3375-31-3,406681-13-8,,,584-08-7,,,,,,108-88-3,,,,,96,2023.0
95,31-614-CAS-38969968,95-50-1,368891-61-6,,,2495113-97-6,96,"Fan, Ruoqian; Wen, Haili; Chen, Zhen; Xia, Yuanzhi; Fang, Weiwei",A General Protocol toward Synthesis of 3-Methylindoles Using,"Organic Letters (2024), 26(1), 22-28",Schlenk tube used,2873417-75-3,,,,865-48-5,,,,,,123-91-1,,,,,96,2024.0
96,31-614-CAS-36129822,108-86-1,21971-28-8,,,1883568-97-5,96,"Xu, Lulin; Mo, Yuhang; Su, Ning; Shi, Changshen; Sun, Ning; Zhang,",D-O-A based organic phosphors for both aggregation-induced,"Nature Communications (2023), 14(1), 1678",,51364-51-3,131274-22-1,,,865-48-5,,,,,,108-88-3,,,,,96,2023.0
97,31-614-CAS-36749011,57260-71-6,94220-45-8,,,3054132-18-9,96,"Oboh, Edmund; Teixeira, Jose E.; Schubert, Tanner J.; Maribona, Adriana",Structure-Activity relationships of replacements for the,"Bioorganic & Medicinal Chemistry (2023), 86117295",sealed flask used,51364-51-3,787618-22-8,,,865-48-5,,,,,,123-91-1,,,,,96,2023.0
98,31-614-CAS-38558283,1895-39-2,881770-50-9,,,491875-17-3,96,"Hu, Chengxian; Wang, Lu; Wu, Yuanyuan; Zheng, Yonglong; Fu, Ying; Du,",Synthesis of N-substituted phthalimides via Pd-catalyzed [4+1],"Chemical Communications (Cambridge, United Kingdom) (2023), 59(100),",sealed tube used,3375-31-3,166330-10-5,,,584-08-7,,,,,,68-12-2,,,,,96,2023.0
99,31-614-CAS-35422535,4753-75-7,96797-15-8,,,2898500-47-3,96,"Reichert, Elaine C.; Feng, Kaibo; Sather, Aaron C.; Buchwald, Stephen L.",Pd-Catalyzed Amination of Base-Sensitive Five-Membered Heteroaryl Halides,"Journal of the American Chemical Society (2023), 145(6), 3323-3329","sealed Schlenk tube used, reactant also recovered",2489525-81-5,,,,18027-10-6,,,,,,123-91-1,,,,,96,2023.0
100,31-614-CAS-36215344,2955594-35-9,,,,2923067-08-5,96,"Pu, Xiaoyun; Zhang, Yaqi; He, Xiaobo; Zhang, Xinhuan; Jiang, Long; Cao,",Synthesis of N-Substituted 4-Quinolones via Palladium-Catalyzed,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157","stereoselective, reaction in a sealed microwave tube, %ee = 88",3375-31-3,406681-13-8,,,584-08-7,,,,,,108-88-3,,,,,96,2023.0
101,31-614-CAS-40129188,3036635-57-8,,,,3047886-65-4,96,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, 95% ee, see experimental details",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,96,2023.0
102,31-614-CAS-41650752,100-63-0,141-97-9,6630-33-7,,143699-02-9,96,"AlMohamadi, Hamad; AlBajalan, Ahmed Rafiq; Menon, Soumya V.;","Palladium immobilized onto 1,4-bis(pyrid-4-yl)benzene grafted to","Research on Chemical Intermediates (2024), 50(8), 3619-3644","green chemistry, solid-supported catalyst (palladium immobilized onto",1317-61-9,7440-05-3,113682-56-7,,,,,,,,,,,,,96,2024.0
103,31-614-CAS-35436064,613-32-1,623-00-7,,,1638702-80-3,96,"Wan, Qing; Li, Yuxuan; Ding, Keke; Xie, Yili; Fan, Jianzhong; Tong,",Aggregation Effect on Multiperformance Improvement in Aryl-Armed,"Journal of the American Chemical Society (2023), 145(3), 1607-1616",,51364-51-3,131274-22-1,,,865-48-5,,,,,,108-88-3,,,,,96,2023.0
104,31-614-CAS-41192578,613-32-1,623-00-7,,,1638702-80-3,88,"Liu, Lu; Li, Yuxuan; Fu, Haichang; Guo, Xuecheng; Wan, Qing; Li, Weijun;",Stable aryl-armed dihydrophenazines-based radicals,"Chemical Engineering Journal (Amsterdam, Netherlands) (2024), 496154156",,52522-40-4,131274-22-1,,,865-48-5,,,,,,108-88-3,,,,,88,2024.0
105,31-614-CAS-38969972,95-50-1,22950-23-8,,,2330823-51-1,96,"Fan, Ruoqian; Wen, Haili; Chen, Zhen; Xia, Yuanzhi; Fang, Weiwei",A General Protocol toward Synthesis of 3-Methylindoles Using,"Organic Letters (2024), 26(1), 22-28",Schlenk tube used,2873417-75-3,,,,865-48-5,,,,,,123-91-1,,,,,96,2024.0
106,31-614-CAS-38030205,110-91-8,14508-49-7,,,5625-94-5,96,"Ouyang, Jia-Sheng; Zhang, Xinhuan; Pan, Bendu; Zou, Haobin; Chan, Albert",Solvent-Free Buchwald-Hartwig Amination of Heteroaryl Chlorides by,"Organic Letters (2023), 25(41), 7491-7496","green chemistry, no solvent, Buchwald-Hartwig amination, Schlenk tube",2585661-86-3,,,,865-48-5,,,,,,,,,,,96,2023.0
107,31-614-CAS-39091044,6903-63-5,212625-79-1,,,2991284-24-1,95,"Grimm, Jonathan B.; Tkachuk, Ariana N.; Patel, Ronak; Hennigan, S.",Optimized Red-Absorbing Dyes for Imaging and Sensing,"Journal of the American Chemical Society (2023), 145(42), 23000-23013",reaction in a sealed vial,51364-51-3,564483-18-7,,,534-17-8,,,,,,123-91-1,,,,,95,2023.0
108,31-614-CAS-35422504,486460-21-3,1065074-43-2,,,2898498-75-2,95,"Reichert, Elaine C.; Feng, Kaibo; Sather, Aaron C.; Buchwald, Stephen L.",Pd-Catalyzed Amination of Base-Sensitive Five-Membered Heteroaryl Halides,"Journal of the American Chemical Society (2023), 145(6), 3323-3329",sealed Schlenk tube used,2489525-81-5,,,,18027-10-6,,,,,,109-99-9,,,,,95,2023.0
109,31-614-CAS-40129205,3036635-92-1,,,,3047886-99-4,95,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, 90% ee, see experimental details,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,95,2023.0
110,31-614-CAS-35649887,110-89-4,144-62-7,769968-23-2,,496965-49-2,95,"Shaifali; Sharma, Poonam; Mehara, Pushkar; Das, Pralay",Supported Palladium-Catalyzed Tandem Synthesis of,"Chemistry - An Asian Journal (2023), 18(6), e202201288",heterogeneous polystyrene supported palladium nanoparticles prepared and,7440-05-3,,,,584-08-7,,,,,,68-12-2,1330-20-7,,,,95,2023.0
111,31-614-CAS-37557410,135-67-1,2980599-51-5,,,2980600-65-3,95,"Lei, Shuang-Gui; Zhou, You; Wang, Li-Sheng; Yu, Zhi-Cheng; Chen, Ting;","I2-DMSO mediated dual α,β-C(sp2)-H functionalization/bicyclization of","Organic Chemistry Frontiers (2023), 10(19), 4843-4847",,3375-31-3,,,,534-17-8,131274-22-1,,,,,108-88-3,,,,,95,2023.0
112,31-614-CAS-35248780,108-86-1,2892156-90-8,,,2892157-53-6,95,"Wang, Xingben; Patureau, Frederic W.",Pd-catalyzed access to mono- and di-fluoroallylic amines from primary,"Chemical Communications (Cambridge, United Kingdom) (2023), 59(4),","alternative preparation shown, Buchwald-Hartwig coupling",3375-31-3,657408-07-6,,,865-48-5,,,,,,108-88-3,,,,,95,2023.0
113,31-614-CAS-35422529,236406-39-6,1936141-54-6,,,2898500-30-4,95,"Reichert, Elaine C.; Feng, Kaibo; Sather, Aaron C.; Buchwald, Stephen L.",Pd-Catalyzed Amination of Base-Sensitive Five-Membered Heteroaryl Halides,"Journal of the American Chemical Society (2023), 145(6), 3323-3329",sealed Schlenk tube used,2489525-81-5,,,,18027-10-6,,,,,,109-99-9,,,,,95,2023.0
114,31-614-CAS-35203607,92-84-2,583-70-0,,,2888555-69-7,95,"Gao, Mingxue; Tian, Yu; Li, Xiaoning; Gong, Yanxiang; Fang, Manman; Yang,","The Effect of Molecular Conformations and Simulated ""Self-Doping"" in","Angewandte Chemie, International Edition (2023), 62(5), e202214908",Schlenk tube used,3375-31-3,,,,865-47-4,13716-12-6,,,,,108-88-3,,,,,95,2023.0
115,31-614-CAS-37012578,120-72-9,2252273-74-6,,,2944471-93-4,95,"Ausekle, Elina; Ehlers, Peter; Villinger, Alexander; Argueello Cordero,",Thienoindolizines and their Benzo-Fused Derivatives: Synthesis and,"Chemistry - A European Journal (2023), 29(42), e202301038",,603-35-0,3375-31-3,,,7778-53-2,7732-18-5,,,,,68-12-2,,,,,95,2023.0
116,31-614-CAS-36215363,2922795-80-8,,,,2640664-96-4,95,"Pu, Xiaoyun; Zhang, Yaqi; He, Xiaobo; Zhang, Xinhuan; Jiang, Long; Cao,",Synthesis of N-Substituted 4-Quinolones via Palladium-Catalyzed,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157","stereoselective, reaction in a sealed microwave tube, %ee = 6",3375-31-3,406681-13-8,,,584-08-7,,,,,,108-88-3,,,,,95,2023.0
117,31-614-CAS-38970055,108-90-7,589-09-3,,,65178-51-0,95,"Fan, Ruoqian; Wen, Haili; Chen, Zhen; Xia, Yuanzhi; Fang, Weiwei",A General Protocol toward Synthesis of 3-Methylindoles Using,"Organic Letters (2024), 26(1), 22-28",Schlenk tube used,2873417-75-3,,,,865-48-5,,,,,,123-91-1,,,,,95,2024.0
118,31-614-CAS-40129194,3036635-61-4,,,,3047886-69-8,95,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, 92% ee, see experimental details,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,95,2023.0
119,31-614-CAS-35422530,54008-77-4,116539-59-4,,,2898500-12-2,95,"Reichert, Elaine C.; Feng, Kaibo; Sather, Aaron C.; Buchwald, Stephen L.",Pd-Catalyzed Amination of Base-Sensitive Five-Membered Heteroaryl Halides,"Journal of the American Chemical Society (2023), 145(6), 3323-3329",sealed Schlenk tube used,2489525-81-5,,,,18027-10-6,,,,,,109-99-9,,,,,95,2023.0
120,31-614-CAS-36471773,135-67-1,2925248-98-0,,,2925249-38-1,95,"Zhou, You; Lei, Shuang-Gui; Wang, Li-Sheng; Ma, Jin-Tian; Yu, Zhi-Cheng;",I2-Promoted gem-Diarylethene Involved Aza-Diels-Alder Reaction and,"Organic Letters (2023), 25(19), 3386-3390",,3375-31-3,,,,534-17-8,131274-22-1,,,,,108-88-3,,,,,95,2023.0
121,31-614-CAS-42013967,3058376-96-5,,,,3058377-25-3,95,"Chen, Minglei; Zhu, Linfei; Zheng, Weitao; Fu, Yili; Zhang, Junru; He,","Catalytic Asymmetric Desymmetrization of Cyclic 1,3-Diketones Using","Organic Letters (2024), 26(18), 3951-3956","stereoselective (ee = 96 %, dr = > 20:1), Buchwald-Hartwig cross-coupling",3375-31-3,564483-18-7,,,534-17-8,,,,,,123-91-1,7732-18-5,,,,95,2024.0
122,31-614-CAS-41860540,102113-98-4,2170176-18-6,,,3054804-68-8,95,"Wu, Lin; Huang, Zhongyan; Miao, Jingsheng; Wang, Shuni; Li, Xinyao; Li,",Orienting Group Directed Cascade Borylation for Efficient One-Shot,"Angewandte Chemie, International Edition (2024), 63(18), e202402020",Buchwald-Hartwig reaction,51364-51-3,131274-22-1,,,865-48-5,,,,,,108-88-3,,,,,95,2024.0
123,31-614-CAS-40244760,92-84-2,87243-31-0,,,2756843-26-0,95,"Xiao, Xiao; Yan, Yuxin; Sukhanov, Andrey A.; Doria, Sandra; Iagatti,",Long-Lived Charge-Separated State in Naphthalimide-Phenothiazine Compact,"Journal of Physical Chemistry B (2023), 127(31), 6982-6998",,3375-31-3,131274-22-1,,,584-08-7,,,,,,108-88-3,,,,,95,2023.0
